zip,city,county,SPCS83_Code
76943,Ozona,Crockett,4203
76945,Robert Lee,Coke,4203
76949,Silver,Coke,4203
76950,Sonora,Sutton,4203
76951,Sterling City,Sterling,4203
76953,Tennyson,Coke,4203
76955,Vancourt,Tom Green,4203
76957,Wall,Tom Green,4203
76958,Water Valley,Tom Green,4203
77001,Houston,Harris,4204
77002,Houston,Harris,4204
77003,Houston,Harris,4204
77004,Houston,Harris,4204
77005,Houston,Harris,4204
77006,Houston,Harris,4204
77007,Houston,Harris,4204
77008,Houston,Harris,4204
77009,Houston,Harris,4204
77010,Houston,Harris,4204
77011,Houston,Harris,4204
77012,Houston,Harris,4204
77013,Houston,Harris,4204
77014,Houston,Harris,4204
77015,Houston,Harris,4204
77016,Houston,Harris,4204
77017,Houston,Harris,4204
77018,Houston,Harris,4204
77019,Houston,Harris,4204
77020,Houston,Harris,4204
77021,Houston,Harris,4204
77022,Houston,Harris,4204
77023,Houston,Harris,4204
77024,Houston,Harris,4204
77025,Houston,Harris,4204
77026,Houston,Harris,4204
77027,Houston,Harris,4204
77028,Houston,Harris,4204
77029,Houston,Harris,4204
77030,Houston,Harris,4204
77031,Houston,Harris,4204
77032,Houston,Harris,4204
77033,Houston,Harris,4204
77034,Houston,Harris,4204
77035,Houston,Harris,4204
77036,Houston,Harris,4204
77037,Houston,Harris,4204
77038,Houston,Harris,4204
77039,Houston,Harris,4204
77040,Houston,Harris,4204
77041,Houston,Harris,4204
77042,Houston,Harris,4204
77043,Houston,Harris,4204
77044,Houston,Harris,4204
77045,Houston,Harris,4204
77046,Houston,Harris,4204
77047,Houston,Harris,4204
77048,Houston,Harris,4204
77049,Houston,Harris,4204
77050,Houston,Harris,4204
77051,Houston,Harris,4204
77052,Houston,Harris,4204
77053,Houston,Fort Bend,4204
77054,Houston,Harris,4204
77055,Houston,Harris,4204
77056,Houston,Harris,4204
77057,Houston,Harris,4204
77058,Houston,Harris,4204
77059,Houston,Harris,4204
77060,Houston,Harris,4204
77061,Houston,Harris,4204
77062,Houston,Harris,4204
77063,Houston,Harris,4204
77064,Houston,Harris,4204
77065,Houston,Harris,4204
77066,Houston,Harris,4204
77067,Houston,Harris,4204
77068,Houston,Harris,4204
77069,Houston,Harris,4204
77070,Houston,Harris,4204
77071,Houston,Harris,4204
77072,Houston,Harris,4204
77073,Houston,Harris,4204
77074,Houston,Harris,4204
77075,Houston,Harris,4204
77076,Houston,Harris,4204
77077,Houston,Harris,4204
77078,Houston,Harris,4204
77079,Houston,Harris,4204
77080,Houston,Harris,4204
77081,Houston,Harris,4204
77082,Houston,Harris,4204
77083,Houston,Harris,4204
77084,Houston,Harris,4204
77085,Houston,Harris,4204
77086,Houston,Harris,4204
77087,Houston,Harris,4204
77088,Houston,Harris,4204
77089,Houston,Harris,4204
77090,Houston,Harris,4204
77091,Houston,Harris,4204
77092,Houston,Harris,4204
77093,Houston,Harris,4204
77094,Houston,Harris,4204
77095,Houston,Harris,4204
77096,Houston,Harris,4204
77097,Houston,Harris,4204
77098,Houston,Harris,4204
77099,Houston,Harris,4204
77201,Houston,Harris,4204
77202,Houston,Harris,4204
77203,Houston,Harris,4204
77204,Houston,Harris,4204
77205,Houston,Harris,4204
77206,Houston,Harris,4204
77207,Houston,Harris,4204
77208,Houston,Harris,4204
77209,Houston,Harris,4204
77210,Houston,Harris,4204
77212,Houston,Harris,4204
77213,Houston,Harris,4204
77215,Houston,Harris,4204
77216,Houston,Harris,4204
77217,Houston,Harris,4204
77218,Houston,Harris,4204
77219,Houston,Harris,4204
77220,Houston,Harris,4204
77221,Houston,Harris,4204
77222,Houston,Harris,4204
77223,Houston,Harris,4204
77224,Houston,Harris,4204
77225,Houston,Harris,4204
77226,Houston,Harris,4204
77227,Houston,Harris,4204
77228,Houston,Harris,4204
77229,Houston,Harris,4204
77230,Houston,Harris,4204
77231,Houston,Harris,4204
77233,Houston,Harris,4204
77234,Houston,Harris,4204
77235,Houston,Harris,4204
77236,Houston,Harris,4204
77237,Houston,Harris,4204
77238,Houston,Harris,4204
77240,Houston,Harris,4204
77241,Houston,Harris,4204
77242,Houston,Harris,4204
77243,Houston,Harris,4204
77244,Houston,Harris,4204
77245,Houston,Harris,4204
77246,Houston,Harris,4204
77247,Houston,Harris,4204
77248,Houston,Harris,4204
77249,Houston,Harris,4204
77250,Houston,Harris,4204
77251,Houston,Harris,4204
77252,Houston,Harris,4204
77253,Houston,Harris,4204
77254,Houston,Harris,4204
77255,Houston,Harris,4204
77256,Houston,Harris,4204
77257,Houston,Harris,4204
77258,Houston,Harris,4204
77259,Houston,Harris,4204
77260,Houston,Harris,4204
77261,Houston,Harris,4204
77262,Houston,Harris,4204
77263,Houston,Harris,4204
77265,Houston,Harris,4204
77266,Houston,Harris,4204
77267,Houston,Harris,4204
77268,Houston,Harris,4204
77269,Houston,Harris,4204
77270,Houston,Harris,4204
77271,Houston,Harris,4204
77272,Houston,Harris,4204
77273,Houston,Harris,4204
77274,Houston,Harris,4204
77275,Houston,Harris,4204
77276,Houston,Harris,4204
77277,Houston,Harris,4204
77278,Houston,Harris,4204
77279,Houston,Harris,4204
77280,Houston,Harris,4204
77282,Houston,Harris,4204
77284,Houston,Harris,4204
77285,Houston,Harris,4204
77286,Houston,Harris,4204
77287,Houston,Harris,4204
77288,Houston,Harris,4204
77289,Houston,Harris,4204
77290,Houston,Harris,4204
77291,Houston,Harris,4204
77292,Houston,Harris,4204
77293,Houston,Harris,4204
77294,Houston,Harris,4204
77296,Houston,Harris,4204
77297,Houston,Harris,4204
77298,Houston,Harris,4204
77299,Houston,Harris,4204
77301,Conroe,Montgomery,4203
77302,Conroe,Montgomery,4203
77303,Conroe,Montgomery,4203
77304,Conroe,Montgomery,4203
77305,Conroe,Montgomery,4203
77306,Conroe,Montgomery,4203
77315,North Houston,Harris,4204
77316,Montgomery,Montgomery,4203
77318,Willis,Montgomery,4203
77320,Huntsville,Walker,4203
77325,Kingwood,Harris,4204
77326,Ace,Polk,4203
77327,Cleveland,Liberty,4203
77328,Cleveland,Montgomery,4203
77331,Coldspring,San Jacinto,4203
77332,Dallardsville,Polk,4203
77333,Dobbin,Montgomery,4203
77334,Dodge,Walker,4203
77335,Goodrich,Polk,4203
77336,Huffman,Harris,4204
77337,Hufsmith,Harris,4204
77338,Humble,Harris,4204
77339,Kingwood,Harris,4204
77340,Huntsville,Walker,4203
77341,Huntsville,Walker,4203
77342,Huntsville,Walker,4203
77343,Huntsville,Walker,4203
77344,Huntsville,Walker,4203
77345,Kingwood,Harris,4204
77346,Humble,Harris,4204
77347,Humble,Harris,4204
77348,Huntsville,Walker,4203
77349,Huntsville,Walker,4203
77350,Leggett,Polk,4203
77351,Livingston,Polk,4203
77353,Magnolia,Montgomery,4203
77354,Magnolia,Montgomery,4203
77355,Magnolia,Montgomery,4203
77356,Montgomery,Montgomery,4203
77357,New Caney,Montgomery,4203
77358,New Waverly,Walker,4203
77359,Oakhurst,San Jacinto,4203
77360,Onalaska,Polk,4203
77362,Pinehurst,Montgomery,4203
77363,Plantersville,Grimes,4203
77364,Pointblank,San Jacinto,4203
77365,Porter,Montgomery,4203
77367,Riverside,Walker,4203
77368,Romayor,Liberty,4203
77369,Rye,Liberty,4203
77371,Shepherd,San Jacinto,4203
77372,Splendora,Montgomery,4203
77373,Spring,Harris,4204
77374,Thicket,Hardin,4203
77375,Tomball,Harris,4204
77376,Votaw,Hardin,4203
77377,Tomball,Harris,4204
77378,Willis,Montgomery,4203
77379,Spring,Harris,4204
77380,Spring,Montgomery,4203
77381,Spring,Montgomery,4203
77382,Spring,Montgomery,4203
77383,Spring,Harris,4204
77384,Conroe,Montgomery,4203
77385,Conroe,Montgomery,4203
77386,Spring,Montgomery,4203
77387,Spring,Harris,4204
77388,Spring,Harris,4204
77389,Spring,Harris,4204
77391,Spring,Harris,4204
77393,Spring,Harris,4204
77396,Humble,Harris,4204
77399,Livingston,Polk,4203
77401,Bellaire,Harris,4204
77402,Bellaire,Harris,4204
77404,Bay City,Matagorda,4204
77406,Richmond,Fort Bend,4204
77407,Richmond,Fort Bend,4204
77410,Cypress,Harris,4204
77411,Alief,Harris,4204
77412,Altair,Colorado,4204
77413,Barker,Harris,4204
77414,Bay City,Matagorda,4204
77415,Cedar Lane,Matagorda,4204
77417,Beasley,Fort Bend,4204
77418,Bellville,Austin,4204
77419,Blessing,Matagorda,4204
77420,Boling,Wharton,4204
