zip,city,county,SPCS83_Code
78211,San Antonio,Bexar,4204
78212,San Antonio,Bexar,4204
78213,San Antonio,Bexar,4204
78214,San Antonio,Bexar,4204
78215,San Antonio,Bexar,4204
78216,San Antonio,Bexar,4204
78217,San Antonio,Bexar,4204
78218,San Antonio,Bexar,4204
78219,San Antonio,Bexar,4204
78220,San Antonio,Bexar,4204
78221,San Antonio,Bexar,4204
78222,San Antonio,Bexar,4204
78223,San Antonio,Bexar,4204
78224,San Antonio,Bexar,4204
78225,San Antonio,Bexar,4204
78226,San Antonio,Bexar,4204
78227,San Antonio,Bexar,4204
78228,San Antonio,Bexar,4204
